Site Name,URL,Contact Email,Category,DR,Traffic,Status,Date Contacted,Topic Sent,Response Date,Response,Follow-up 1 Date,Follow-up 2 Date,Published Date,Backlink URL,Anchor Text,Link Type,Notes
Marketing 4 eCommerce,https://marketing4ecommerce.net/,hola@marketing4ecommerce.net,Ecommerce,65,500K+,Not Contacted,,,,,,,,,,,,"Topic: IA in Ecommerce"
Xataka,https://www.xataka.com/,contacto@xataka.com,Technology,85,5M+,Not Contacted,,,,,,,,,,,,"Topic: Copywriting AI"
Genbeta,https://www.genbeta.com/,redaccion@genbeta.com,Software,80,2M+,Not Contacted,,,,,,,,,,,,"Topic: IA Productivity Tools"
Aula Marketing,https://aulademarketing.com/,info@aulademarketing.com,Marketing,45,100K+,Not Contacted,,,,,,,,,,,,"Topic: Prompt Engineering"
El Publicista,https://elpublicista.es/,editorial@elpublicista.es,Advertising,50,150K+,Not Contacted,,,,,,,,,,,,"Topic: IA in Advertising"
Marketing Directo,https://www.marketingdirecto.com/,redaccion@marketingdirecto.com,Marketing,55,300K+,Not Contacted,,,,,,,,,,,,"Topic: AI Marketing Trends"
PuroMarketing,https://www.puromarketing.com/,redaccion@puromarketing.com,Marketing,48,200K+,Not Contacted,,,,,,,,,,,,"Topic: Digital Marketing IA"
Blogpymes,https://blogpymes.com/,info@blogpymes.com,SMB,40,80K+,Not Contacted,,,,,,,,,,,,"Topic: IA for Small Business"
Ecommerce Nation,https://ecommercenation.com/,hello@ecommercenation.com,Ecommerce,42,100K+,Not Contacted,,,,,,,,,,,,"Topic: AI for Ecommerce"
HubSpot Blog,https://blog.hubspot.com/,partner@hubspot.com,Marketing,93,15M+,Not Contacted,,,,,,,,,,,,"Topic: AI Marketing Toolkit"
Copyblogger,https://copyblogger.com/,editor@copyblogger.com,Copywriting,87,2M+,Not Contacted,,,,,,,,,,,,"Topic: Prompt Engineering"
Search Engine Journal,https://www.searchenginejournal.com/,tips@searchenginejournal.com,SEO,85,3M+,Not Contacted,,,,,,,,,,,,"Topic: AI for SEO"
Social Media Examiner,https://www.socialmediaexaminer.com/,guest@socialmediaexaminer.com,Social Media,84,2M+,Not Contacted,,,,,,,,,,,,"Topic: AI Social Media"
Content Marketing Institute,https://contentmarketinginstitute.com/,editor@cmi.com,Content,86,1.5M+,Not Contacted,,,,,,,,,,,,"Topic: Content Strategy AI"
Buffer Blog,https://buffer.com/blog,hello@buffer.com,Social Media,80,1M+,Not Contacted,,,,,,,,,,,,"Topic: AI Marketing Tools"
Neil Patel,https://neilpatel.com/,team@neilpatel.com,Marketing,92,10M+,Not Contacted,,,,,,,,,,,,"Paid opportunity"
Ahrefs Blog,https://ahrefs.com/blog/,blog@ahrefs.com,SEO,88,2M+,Not Contacted,,,,,,,,,,,,"Topic: AI SEO Tools"
Semrush Blog,https://www.semrush.com/blog/,pr@semrush.com,SEO,87,3M+,Not Contacted,,,,,,,,,,,,"Topic: AI Marketing"
Backlinko,https://backlinko.com/,brian@backlinko.com,SEO,82,500K+,Not Contacted,,,,,,,,,,,,"Topic: Link Building AI"
